city,date,altitude_m,temp_c,feels_like_c,humidity_pct,wind_kph,wbgt_approx,heat_category,collected_at,match_id,home_team,away_team,total_goals
Mexico City,2026-06-11,2240,18.7,20.0,75,0.7,28.2,Very High,2026-06-16T03:01:49.958272+00:00,537327,Mexico,South Africa,2
Toronto,2026-06-12,76,26.0,23.9,41,17.9,31.3,Very High,2026-06-16T03:01:50.884773+00:00,537333,Canada,Bosnia-Herzegovina,2
San Francisco,2026-06-13,15,25.8,24.7,46,14.8,31.7,Very High,2026-06-16T03:01:51.342058+00:00,537334,Qatar,Switzerland,2
New York/NJ,2026-06-13,9,31.3,30.1,29,10.0,34.3,Very High,2026-06-16T03:01:56.687106+00:00,537339,Brazil,Morocco,2
Vancouver,2026-06-14,3,27.5,25.4,25,7.4,30.7,Very High,2026-06-16T03:01:57.441006+00:00,537346,Australia,Turkey,2
Houston,2026-06-14,13,27.3,33.2,86,4.8,37.7,Very High,2026-06-16T03:01:57.969756+00:00,537351,Germany,Curaçao,8
Dallas,2026-06-14,195,27.7,30.2,69,14.8,36.1,Very High,2026-06-16T03:02:03.306808+00:00,537357,Netherlands,Japan,4
Philadelphia,2026-06-14,4,30.6,29.6,40,19.2,35.1,Very High,2026-06-16T03:02:04.046949+00:00,537352,Ivory Coast,Ecuador,1
Atlanta,2026-06-15,294,27.5,28.5,50,8.4,33.7,Very High,2026-06-16T03:02:04.543823+00:00,537369,Spain,Cape Verde Islands,0
Seattle,2026-06-15,11,27.1,25.0,35,15.3,31.6,Very High,2026-06-16T03:02:05.054162+00:00,537363,Belgium,Egypt,2
Miami,2026-06-15,2,31.6,34.7,54,10.6,37.8,Very High,2026-06-16T13:36:34.561700+00:00,537370,Saudi Arabia,Uruguay,2
Guadalajara,2026-06-11,1566,24.4,25.3,60,8.6,32.0,Very High,2026-06-16T21:39:51.383996+00:00,537328,South Korea,Czechia,3
Los Angeles,2026-06-12,71,23.3,23.6,64,12.3,31.4,Very High,2026-06-16T21:39:51.985067+00:00,537345,United States,Paraguay,5
Boston,2026-06-13,17,29.7,28.9,33,9.4,33.5,Very High,2026-06-16T21:39:52.546321+00:00,537340,Haiti,Scotland,1
Monterrey,2026-06-14,538,26.6,31.2,79,5.8,36.2,Very High,2026-06-16T21:39:56.519135+00:00,537358,Sweden,Tunisia,6
Los Angeles,2026-06-15,71,21.9,21.6,63,12.2,30.0,Very High,2026-06-16T21:39:57.075351+00:00,537364,Iran,New Zealand,4
New York/NJ,2026-06-16,9,23.2,20.5,41,17.3,28.9,Very High,2026-06-16T21:39:57.647961+00:00,537391,France,Senegal,4
Boston,2026-06-16,17,23.3,21.6,37,7.8,28.6,Very High,2026-06-17T06:20:19.132228+00:00,537392,Iraq,Norway,5
Kansas City,2026-06-16,265,26.5,26.9,41,2.0,31.7,Very High,2026-06-17T06:20:19.522671+00:00,537397,Argentina,Algeria,3
San Francisco,2026-06-16,15,23.2,22.0,49,12.6,29.8,Very High,2026-06-17T06:20:19.907332+00:00,537398,Austria,Jordan,4
Houston,2026-06-17,13,29.3,34.7,77,8.1,38.6,Very High,2026-06-17T21:02:20.375429+00:00,537403,Portugal,Congo DR,2
Dallas,2026-06-17,195,32.2,34.2,56,20.7,38.6,Very High,2026-06-18T05:59:34.066979+00:00,537409,England,Croatia,6
Mexico City,2026-06-17,2240,18.3,18.2,69,6.3,27.3,High,2026-06-18T05:59:34.715731+00:00,537404,Uzbekistan,Colombia,4
Toronto,2026-06-17,76,19.8,18.4,67,17.6,28.5,Very High,2026-06-19T09:27:02.776739+00:00,537410,Ghana,Panama,1
Atlanta,2026-06-18,294,22.2,25.7,97,8.8,33.8,Very High,2026-06-19T09:27:03.426139+00:00,537329,Czechia,South Africa,2
Los Angeles,2026-06-18,71,19.9,19.5,68,11.6,28.7,Very High,2026-06-19T09:27:04.794907+00:00,537335,Switzerland,Bosnia-Herzegovina,5
Vancouver,2026-06-18,3,21.9,20.2,54,16.1,29.1,Very High,2026-06-19T09:27:06.643323+00:00,537336,Canada,Qatar,6
Guadalajara,2026-06-18,1566,23.2,23.5,61,11.0,31.0,Very High,2026-06-19T09:27:07.348322+00:00,537330,Mexico,South Korea,1
Seattle,2026-06-19,11,25.9,23.4,32,13.4,30.2,Very High,2026-06-20T05:20:15.326371+00:00,537348,United States,Australia,2
Boston,2026-06-19,17,24.2,21.8,45,19.2,30.2,Very High,2026-06-20T05:20:16.548771+00:00,537342,Scotland,Morocco,1
Philadelphia,2026-06-19,4,28.0,24.8,29,19.7,31.6,Very High,2026-06-20T05:20:18.915325+00:00,537341,Brazil,Haiti,3
San Francisco,2026-06-19,15,25.0,23.8,38,7.2,30.1,Very High,2026-06-20T05:20:19.552619+00:00,537347,Turkey,Paraguay,1
Houston,2026-06-20,13,28.1,34.1,84,6.1,38.3,Very High,2026-06-20T20:12:22.272565+00:00,537359,Netherlands,Sweden,6
Toronto,2026-06-20,76,22.9,20.9,39,10.5,28.5,Very High,2026-06-21T06:08:15.747516+00:00,537353,Germany,Ivory Coast,3
Kansas City,2026-06-20,265,27.9,29.4,53,7.9,34.4,Very High,2026-06-21T06:08:16.320190+00:00,537354,Ecuador,Curaçao,0
Monterrey,2026-06-20,538,28.5,32.2,67,7.2,36.6,Very High,2026-06-21T06:08:16.716603+00:00,537360,Tunisia,Japan,4
Atlanta,2026-06-21,294,28.7,31.7,62,8.4,36.2,Very High,2026-06-21T20:21:20.471162+00:00,537371,Spain,Saudi Arabia,5
Los Angeles,2026-06-21,71,20.5,19.9,62,10.2,28.7,Very High,2026-06-22T06:33:22.155715+00:00,537365,Belgium,Iran,0
Miami,2026-06-21,2,31.4,35.3,58,7.0,38.1,Very High,2026-06-22T06:33:23.311042+00:00,537372,Uruguay,Cape Verde Islands,4
Vancouver,2026-06-21,3,20.7,19.2,48,8.8,27.5,High,2026-06-22T06:33:24.845592+00:00,537366,New Zealand,Egypt,4
Dallas,2026-06-22,195,34.4,37.9,51,12.5,39.9,Very High,2026-06-22T21:29:52.884363+00:00,537399,Argentina,Austria,2
Philadelphia,2026-06-22,4,27.5,30.9,68,6.8,35.8,Very High,2026-06-23T05:07:16.250278+00:00,537393,France,Iraq,3
New York/NJ,2026-06-22,9,22.9,26.8,91,4.4,33.9,Very High,2026-06-23T05:07:16.825769+00:00,537394,Norway,Senegal,5
San Francisco,2026-06-22,15,21.0,19.3,54,14.1,28.3,Very High,2026-06-23T05:07:17.395851+00:00,537400,Jordan,Algeria,3
Houston,2026-06-23,13,32.0,35.7,60,12.4,38.9,Very High,2026-06-23T20:59:03.089451+00:00,537405,Portugal,Uzbekistan,5
Boston,2026-06-23,17,19.4,21.5,96,7.2,30.9,Very High,2026-06-24T05:05:06.759693+00:00,537411,England,Ghana,0
Toronto,2026-06-23,76,22.6,20.9,49,14.3,29.2,Very High,2026-06-24T05:05:07.165585+00:00,537412,Panama,Croatia,1
Guadalajara,2026-06-23,1566,25.1,25.2,48,6.8,31.3,Very High,2026-06-24T05:05:07.580874+00:00,537406,Colombia,Congo DR,1
Vancouver,2026-06-24,3,28.0,26.8,29,5.5,31.6,Very High,2026-06-25T05:09:28.062114+00:00,537337,Switzerland,Canada,3
Seattle,2026-06-24,11,28.2,25.5,33,19.3,32.2,Very High,2026-06-25T05:09:29.733276+00:00,537338,Bosnia-Herzegovina,Qatar,4
Atlanta,2026-06-24,294,28.5,29.4,43,4.7,33.7,Very High,2026-06-25T05:09:30.373193+00:00,537344,Morocco,Haiti,6
Miami,2026-06-24,2,27.2,33.6,87,2.1,37.7,Very High,2026-06-25T05:09:30.998028+00:00,537343,Scotland,Brazil,3
Mexico City,2026-06-24,2240,16.7,17.1,86,6.4,27.2,High,2026-06-25T05:09:31.623641+00:00,537331,Czechia,Mexico,3
Monterrey,2026-06-24,538,30.9,31.6,50,19.2,36.7,Very High,2026-06-25T05:09:32.256095+00:00,537332,South Africa,South Korea,1
New York/NJ,2026-06-25,9,26.5,25.0,42,16.0,31.9,Very High,2026-06-26T05:13:01.524333+00:00,537355,Ecuador,Germany,3
Philadelphia,2026-06-25,4,29.1,27.6,36,15.3,33.4,Very High,2026-06-26T05:13:02.315088+00:00,537356,Curaçao,Ivory Coast,2
Kansas City,2026-06-25,265,22.2,24.9,91,10.7,33.2,Very High,2026-06-26T05:13:02.886350+00:00,537361,Tunisia,Netherlands,4
Dallas,2026-06-25,195,33.2,34.2,46,19.2,38.1,Very High,2026-06-26T05:13:07.390707+00:00,537362,Japan,Sweden,2
Los Angeles,2026-06-25,71,20.6,19.9,63,12.3,28.9,Very High,2026-06-26T05:13:08.170921+00:00,537349,Turkey,United States,5
San Francisco,2026-06-25,15,22.3,20.6,52,15.9,29.3,Very High,2026-06-26T07:53:42.617594+00:00,537350,Paraguay,Australia,0
Boston,2026-06-26,17,23.8,25.6,77,12.3,33.3,Very High,2026-06-27T04:57:01.384213+00:00,537395,Norway,France,5
Toronto,2026-06-26,76,19.3,19.5,81,12.4,29.3,Very High,2026-06-27T04:57:01.998235+00:00,537396,Senegal,Iraq,5
Guadalajara,2026-06-26,1566,20.2,21.2,77,7.8,29.8,Very High,2026-06-27T04:57:03.256820+00:00,537373,Uruguay,Spain,1
Houston,2026-06-26,13,31.9,35.1,61,16.6,39.0,Very High,2026-06-27T04:57:05.095542+00:00,537374,Cape Verde Islands,Saudi Arabia,0
Vancouver,2026-06-26,3,16.0,15.5,84,10.6,26.4,High,2026-06-27T06:53:03.071392+00:00,537367,New Zealand,Belgium,6
Seattle,2026-06-26,11,19.0,16.4,63,21.6,27.4,High,2026-06-27T06:53:03.470096+00:00,537368,Egypt,Iran,2
New York/NJ,2026-06-27,9,22.6,25.8,83,3.2,32.8,Very High,2026-06-28T05:20:46.228379+00:00,537413,Panama,England,2
Philadelphia,2026-06-27,4,22.4,24.2,81,10.2,32.4,Very High,2026-06-28T05:20:46.845903+00:00,537414,Croatia,Ghana,3
Miami,2026-06-27,2,30.8,35.1,61,5.2,38.0,Very High,2026-06-28T05:20:48.418394+00:00,537407,Colombia,Portugal,0
Atlanta,2026-06-27,294,30.7,32.7,52,12.5,36.7,Very High,2026-06-28T05:20:50.745434+00:00,537408,Congo DR,Uzbekistan,4
